Country	Div Rank	Gender Rank	Overall Rank	Swim	Bike	Run	Finish	Points
USA	24	517	2095	01:37:26	08:21:11	05:55:55	16:22:34	1485
USA	86	519	2097	01:25:22	08:06:43	06:31:43	16:23:03	1125
USA	87	523	2118	01:50:44	07:56:11	06:28:22	16:32:23	1013
USA	95	524	2119	01:45:39	08:20:56	06:00:50	16:33:54	1000
USA	74	525	2120	01:35:41	07:58:16	06:41:00	16:34:28	1000
USA	96	526	2121	02:13:16	07:53:06	06:08:10	16:35:06	1000
USA	76	528	2123	01:37:50	08:16:16	06:16:29	16:36:06	1000
USA	90	531	2127	01:45:11	08:04:20	06:30:25	16:37:32	1000
USA	77	532	2132	01:40:30	08:14:15	06:28:11	16:39:25	1000
USA	78	533	2138	01:17:42	07:31:07	07:27:47	16:41:28	1000
USA	12	534	2142	01:41:22	08:20:54	06:22:58	16:44:18	1411
USA	87	535	2144	01:59:20	08:09:19	06:17:02	16:44:44	1000
USA	52	540	2154	01:26:57	07:09:42	08:01:33	16:58:21	1000
USA	---	---	---	01:39:16	---	---	DNF	---
USA	---	---	---	01:29:40	---	---	DNF	---
USA	---	---	---	01:41:37	---	---	DNF	---
USA	---	---	---	01:23:23	07:19:26	---	DNF	---
USA	---	---	---	01:27:30	07:17:07	---	DNF	---
USA	---	---	---	01:45:40	---	---	DNF	---
USA	---	---	---	01:15:19	07:03:20	---	DNF	---
USA	---	---	---	---	---	---	DNS	---
USA	---	---	---	02:03:13	---	---	DNF	---
USA	---	---	---	01:29:42	---	---	DNF	---
USA	---	---	---	01:03:06	05:54:31	---	DNF	---
USA	---	---	---	---	---	---	DNS	---
USA	---	---	---	---	---	---	DNS	---
USA	---	---	---	01:01:49	05:24:48	---	DNF	---
USA	---	---	---	01:42:44	---	---	DNF	---
USA	---	---	---	01:28:30	---	---	DNF	---
USA	---	---	---	---	---	---	DNS	---
USA	---	---	---	01:13:57	08:07:55	---	DNF	---
USA	---	---	---	01:17:00	---	---	DNF	---
USA	---	---	---	01:22:36	---	---	DNF	---
USA	---	---	---	---	---	---	DQ	---
USA	---	---	---	01:44:23	---	---	DNF	---
USA	---	---	---	---	---	---	DNS	---
USA	---	---	---	---	---	---	DNS	---
USA	---	---	---	01:00:37	05:03:20	---	DNF	---
USA	---	---	---	01:46:29	---	---	DNF	---
USA	---	---	---	01:43:45	---	---	DNF	---
USA	---	---	---	01:45:56	---	---	DNF	---
USA	---	---	---	01:11:13	---	---	DNF	---
USA	---	---	---	01:18:50	---	---	DNF	---
USA	---	---	---	01:18:06	07:47:46	---	DNF	---
