Name	o.rank	d.rank	g.rank	bib	age
Katherine Caprio-Burgoyne	1943	107	463	835	43
Marie-Eve Carre	1715	78	361	836	40
Cynthia Castonguay	1786	85	392	837	40
Jennifer Charters	2146	125	544	838	44
Lisa Christensen	DNF	NA	NA	839	42
Larry Rodman	826	114	721	83	47
Kelly Clark	1694	75	350	840	43
Charlotte Clews	1049	24	152	841	41
Kate Cochran	879	14	116	842	41
Beth Connelie	1869	99	429	843	39
Kristy Cordeiro	DNF	NA	NA	844	42
Nicole Coulombe	DNF	NA	NA	845	43
Lauren Darienzo	2221	134	579	846	40
Martine Daudelin	1433	51	252	847	44
Maya Davidow	1103	29	169	848	41
Laura Difelice	1443	52	253	849	42
Michael Dreyer	1497	212	1220	84	46
Kristie Dodge	2238	136	586	850	42
Karine Dumont	1309	39	214	851	41
Isabelle Dumontet	1843	93	417	852	43
Jennifer Feeney	1483	56	271	855	44
Linda Fijol	1471	54	266	856	42
Taryn Fimiani	1079	28	160	857	40
Sherry Fitzgerald	1429	49	250	858	42
Nadia Fortier	1105	30	170	859	39
Eric Hoberman	791	165	689	85	40
Heather Freeman	2185	132	564	860	40
Lisanne Gadoury	1818	89	405	861	42
Julie Gadreau	772	11	98	862	40
Priscillia Gagne	2007	112	490	863	41
Nicole Ann Garofalo	2050	117	507	864	43
Karin Getz	2040	115	503	865	40
Catherine Goineau	861	13	115	866	41
Nicole Goller	DNF	NA	NA	867	44
Lori Goodfellow	2229	135	583	868	41
Diana Grant Waskawich	2125	121	534	869	40
Michael Jensen	472	97	414	86	41
Melanie Gregory	1554	63	298	870	40
Natalie Greig	1358	43	233	871	43
Fanny Grenier	986	20	140	872	41
Kathleen Guay	985	19	139	873	42
Marie-Helene Guevin	2069	118	511	874	44
Nicole Harder	2252	137	590	875	44
Kim Hawkins	DNF	NA	NA	876	44
Kris Helwer	1303	38	213	877	43
Andrea Hillman	2078	119	516	878	44
Debbie Hires	1750	82	376	879	42
Trevor Myshrall	1529	196	1242	87	35
Sarah Hobson	2046	116	506	880	41
Suzanne Iovanni	1615	67	321	881	43
Aileen Isidoro	DNF	NA	NA	882	44
Christine Kaegi	979	17	137	883	43
Kathryn Katsiroumpas	1729	79	367	884	43
Christine Keating	651	8	84	885	42
Amy Kirkpatrick	2176	130	558	887	43
Amy Knibb	1794	86	398	888	39
Christine Kochaniec	1921	105	453	889	40
Paula Koss	1670	70	340	890	43
Catherine Lacoste	518	6	67	892	43
Roxanne Lafond	1022	21	146	893	43
Marie-Eve Lamontagne	1563	64	304	894	40
Isabelle Landry	439	3	54	895	43
Rachel Lauziere	1901	102	443	896	41
Dawn Leblanc	2012	113	491	897	NA
Jennifer Lorusso	1552	62	297	899	40
Marcia Scott	2209	67	573	89	53
Christine Lyons	DNF	NA	NA	900	41
Heidi Maldonado	DNF	NA	NA	901	44
Nikki Marks	1463	53	262	903	42
Karine Marquis	1699	76	353	904	39
Julie Martens	127	1	12	905	41
Sylvia Matic	DNF	NA	NA	906	41
Nadia Mattar	1839	92	416	907	41
Gail Mercer	DNF	NA	NA	908	41
Paola Miller	2187	133	565	909	40
Roger Nelson	938	33	805	90	57
Jean Michele Moore	1515	60	284	910	42
Genevieve Morneau	1685	74	348	911	44
Kristine Mulrooney	1886	100	436	913	41
Heather Neeley	1682	73	347	915	42
Charlotte Newbury	792	12	103	916	39
Sue Norquay	2149	126	546	917	41
Shelley O'Bright	DNF	NA	NA	919	44
Camilo Kejner	1840	305	1424	91	NA
Colleen Ouwendyk	1149	33	183	921	41
Nancy Ovitt	1908	103	447	922	43
Fabienne Parente	1854	96	423	923	43
Tracy Pierce	DNF	NA	NA	924	44
Adriana Pineda	1107	31	172	925	40
Carolyn Piper	1861	97	426	926	40
Megan Porter	DNF	NA	NA	927	NA
Adrienne Powell	1732	80	369	928	42
Martine Proulx	1077	27	159	929	40
Nashwa Rafla	2144	124	542	930	40
Isabelle Ratelle	1764	84	383	931	44
Janis Rau	982	18	138	932	40
Leah Reinberger	1421	48	247	933	40
Jessica Reiss	1916	104	451	934	40
Jessica Reissig	1342	42	223	935	40
Kim Renaud	1543	61	294	936	44
Kate Rheault	653	9	85	938	41
Staci Richards	1835	90	413	939	41
Vanessa Rochester	1968	108	471	942	39
Claudia Rochon	2014	114	492	943	40
Rachel Rodney	1247	36	204	944	41
Paola Ronquillo	DNF	NA	NA	945	41
Randee Roucoulet	2082	120	520	946	43
Nyree Roviellomeadows	2133	123	537	947	42
Caroline Samson	1311	40	215	948	44
Stacey Sarnecki	2126	122	535	949	42
Tara Scarangelli	1588	65	312	950	43
Denise Schultz	1488	57	275	951	42
Monica Slagle	DNF	NA	NA	952	40
Julie Speck	1671	71	341	953	43
Patricia Spencer	DNF	NA	NA	954	44
Angela Sproles	1145	32	181	955	40
Kristy Staples	961	16	136	956	40
Doneen Swart	1184	34	191	958	43
Melissa Sykes	1372	45	236	959	43
Shelley Thompson	DNF	NA	NA	960	40
Megan Townsend	2156	127	549	961	44
Carrie Treadwell	2170	129	554	962	40
Jeanne-Evelyne Turgeon	1033	22	148	963	42
Erika Vermill	1844	94	418	964	41
Heidi Watson	1802	87	400	965	44
Sarah Watts	1850	95	421	966	43
Shannon Winston-Goewey	1672	72	342	967	40
Shelley Wood	1627	68	326	968	41
Sharon Zeigler	1836	91	414	969	40
Nathalie Audet	2162	79	550	970	45
Melody Balane	1570	37	307	971	46
Angela Bancroft	118	1	10	972	46
Pamela Beckwith	1082	16	162	973	48
Margaret Britton	2025	65	495	975	49
Karen Brown	1757	47	379	976	46
Gina Calleo	2002	64	486	978	44
Stephanie Doyon	DNF	NA	NA	97	22
Tammy Carignan	2029	66	497	980	45
Karen Charpentier	DNF	NA	NA	981	48
Corinne Chevarier	1523	34	287	982	48
Dawn Cobak	1519	33	286	983	45
Kelly Collins	898	11	121	984	47
Maria Cox	DNF	NA	NA	985	47
Melissa Crane	1008	15	142	986	45
Jennifer Denomy	1654	41	336	988	45
Laura Desimini	2239	87	587	989	44
Sarah Casaubon	91	1	9	98	29
Kasia Doherty	1243	24	202	990	47
Julie Dumouchel	1585	38	311	991	46
Katie Eddins	1726	46	366	992	46
Risa Engel	2183	81	563	994	47
Eliana Themistocleous	1499	31	278	995	49
Brenda Forgues	2033	67	501	996	48
Helene Gagnon	1106	18	171	997	46
Isabelle Gelinas	1481	30	270	998	45
Katie Gerry	850	10	112	999	45
Holli Finneren	630	9	82	99	29
Víctor Del Corral	9	8	9	9	36
