Name	o.rank	d.rank	g.rank	bib	age
Nicholas Coleman	1743	185	1369	1379	31
Gareth Scobie	141	27	127	137	42
Timothy Collins	110	20	101	1380	33
Chuck Compson	1521	173	1235	1381	32
David Concepcion	1110	136	938	1382	34
Andrew D'Agati	1075	133	917	1383	34
Josh Davis	1394	163	1152	1384	29
Arnaud Demoncheaux	1222	149	1024	1386	34
Alexandre Desmeules-Gagnon	1569	175	1263	1387	31
Daniel Dillon	1544	174	1250	1388	34
David Doherty	54	11	51	1389	33
Marc Arseneau	177	21	161	138	48
Jean-Francois Duquette	1279	157	1071	1390	34
Richard Dyrkacz	1796	186	1398	1391	32
Damien Fauve	201	34	184	1393	34
John Jr Finn	1161	139	975	1395	34
Will Foran	1185	140	994	1396	30
Chris Forstinger	1579	177	1270	1397	32
Nicolas Fortin	740	101	644	1398	32
Matthew Freiman	157	27	142	1399	33
Steeve Carpentier	37	3	35	139	47
Andrew Frey	487	67	426	1400	31
Cesar Fuentes-Ortega	704	96	612	1401	30
David Gagnon	1511	172	1231	1402	33
Frederic Gariepy	DNS	NA	NA	1403	30
Jacques Jr Gelinas	121	21	110	1405	32
Yannick Gentes	1189	142	998	1406	33
Tanner Gervais	611	79	531	1407	31
Pascal Gingras	1265	153	1059	1409	33
Keith Couvillion	342	41	302	140	44
Grant Gipson	460	64	403	1410	31
Eric Gluck	2157	203	1608	1411	32
Jimmy Gosselin	13	2	13	1412	32
Mark Grandbois	1688	182	1340	1413	31
Ryan Grant	381	58	334	1414	34
Justin Graves	DNF	NA	NA	1415	31
Andrew Grove	181	32	165	1417	30
Mark Guichelaar	1215	147	1019	1418	34
Adam Gunn	830	109	725	1419	32
Steven Enis	989	142	849	141	46
Randall Hines	853	113	740	1420	32
Brandon Hogan	1815	187	1411	1421	33
Ian Holland	1430	164	1180	1422	32
Tyler Holtzman	1267	154	1061	1423	31
Johnathan Hostick	176	30	160	1424	32
Sylvain Houle	1684	181	1337	1425	30
David Howe	969	124	833	1426	30
Eric Fabian Humes	1096	135	930	1427	34
Douglas Ianuario	663	88	577	1428	31
Jeffrey Irvine	628	81	548	1429	33
David Hynan	1213	175	1017	142	47
Nicholas Jemo	2202	206	1632	1430	32
Eric Johanssen	1332	160	1112	1431	34
Alexander Kaz	340	51	300	1433	30
John King	2223	208	1643	1434	30
Alan Kirby	370	55	325	1435	30
David Krueger	63	14	60	1436	30
Noah Krzan	796	103	693	1437	30
Jean-Francois Labonte	DNF	NA	NA	1438	31
Pierre-Yves Lacroix	1252	152	1047	1439	30
Peter Lamb	2169	205	1616	1440	29
Alexis Lambert	1207	145	1014	1441	31
Dominick Landry	1439	165	1187	1443	32
Etienne Lapointe	955	121	821	1444	30
Simon Lapointe	311	45	279	1445	31
Mathieu Latouche	718	99	625	1446	30
Phil Lavoie	918	118	792	1447	32
Jeremy Law	692	94	601	1448	34
Eric Lawrie	919	119	793	1449	34
Ludovic Meheust	153	15	138	144	49
Jeff Leavitt	514	69	448	1450	30
Olivier Leblanc	1719	184	1357	1451	29
Dominik Lemieux	327	49	294	1452	33
Kurt Lesker	1221	148	1023	1453	33
Kevin Lessard	145	26	130	1454	30
Michel Lessard	652	86	568	1455	34
Jeffery Lisea	DNF	NA	NA	1456	29
Vincent Longpre Croteau	1251	151	1046	1457	30
David Lyons	818	107	713	1458	29
Man Kwan Ma	1837	189	1423	1459	33
Attila Meretei	164	17	148	145	45
Raphael Mahpour	1389	162	1147	1460	31
Jason Major	1992	194	1511	1461	31
Laurent Malo	1001	130	860	1462	33
Francis Martin	60	13	57	1463	NA
Mathew Mcclellan	665	89	579	1465	30
Tyler Mcdannold	1272	155	1065	1466	33
Garon Mchone	579	74	504	1467	31
Scott Mcneany	129	25	116	1468	32
Alejandro Mendoza	1581	178	1272	1469	32
Scott Tompkins	80	8	74	146	47
Pierre Luc Mercier	585	75	509	1470	33
Vincent Mercier	179	31	163	1471	33
Jesse James Micak	672	90	586	1472	31
Nathan Miller	1632	179	1305	1473	30
Ryan Mitchell	597	76	519	1475	30
Sergey Mkrtchyan	632	82	550	1476	30
Ryan Monaghan	570	72	496	1477	30
Daniel Berlay Montes De Oca Lindoro	832	110	726	1478	NA
Michael Morris	1506	170	1226	1479	34
Christopher Morton	804	105	701	1480	31
Jon Morton	94	18	85	1481	33
Andy Moser	1890	191	1452	1482	33
Stuart Munro	380	57	333	1483	33
Chris Murnane	1466	166	1202	1484	29
Steven Murphy	2206	207	1635	1485	30
Carl-Etienne Nault-Cloutier	712	97	619	1486	33
Samuel Nudelman	1382	161	1145	1488	30
Neftali Ocasio	1113	137	941	1490	30
Dan Pauls	369	54	324	1492	NA
Zack Peckham	313	46	280	1493	31
Alexandre Pedneault	172	29	156	1494	31
Martin Perrier	1996	195	1514	1495	NA
Maurice Pianko	DNF	NA	NA	1496	32
Philippe Poitras-Lafrance	290	43	260	1497	33
Joey Postma	2059	200	1549	1498	29
Joseph Powers	953	120	819	1499	33
Guy Lefebvre	85	3	78	149	54
Matthew Curbeau	DNS	NA	NA	14	30
Jonathan Prince	430	62	379	1500	34
Zach Proulx	399	60	350	1501	32
Justin Pugliese	275	42	247	1502	31
Jesus Quinones	1241	150	1040	1503	32
Miko Quisumbing	1325	159	1106	1504	NA
Brad Radkoski	386	59	339	1505	30
Jagannath Rajasekaran	2103	201	1577	1506	30
Gabriel Rancourt	1577	176	1268	1507	30
Christian Richards	505	68	439	1509	32
